material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-2212,ScCo,"['Sc', 'Co']","[1, 1]",5.682768497,0.29,121,1791,58,1.68,0.1313098,0.506,cubic,217,217,217,73,73,73,52,52,52
mp-2213,FeNi,"['Fe', 'Ni']","[1, 1]",8.452470899,0.29,187,1769.5,85.5,1.525,0.14323,0.443,tetragonal,356,356,296,58,140,140,126,126,39
mp-22154,In2Au,"['In', 'Au']","[2, 1]",9.450570171,0.35,52,732.2766667,161.3333333,1.62,0.19661,0.199,cubic,70,70,70,43,43,43,21,21,21
mp-2221,Zr2Ag,"['Zr', 'Ag']","[2, 1]",7.428326791,0.32,101,1830.31,158.6666667,1.923333333,0.1323313,0.266333333,tetragonal,157,157,126,54,91,91,63,63,32
mp-2225,Be2Fe,"['Be', 'Fe']","[2, 1]",4.769353023,0.15,158,1643.666667,153.3333333,1.266666667,0.143075067,1.363666667,hexagonal,360,360,368,57,56,56,136,136,152
mp-22318,SrAl2,"['Sr', 'Al']","[1, 2]",3.122947564,0.2,45,972.3133333,168.3333333,1.516666667,0.139554733,0.700333333,orthorhombic,88,71,92,29,18,29,44,35,35
mp-22320,GaRu,"['Ga', 'Ru']","[1, 1]",10.19499411,0.31,201,1454.955,74.5,1.57,0.15501335,0.305,cubic,290,290,290,156,156,156,106,106,106
mp-22568,V3Ga,"['V', 'Ga']","[3, 1]",6.726541666,0.4,168,1712.9775,30.5,1.6225,0.138595125,0.45675,cubic,264,264,264,120,120,120,24,24,24
mp-2258,Cu3Au,"['Cu', 'Au']","[3, 1]",11.97461729,0.35,142,1352.66,380,1.5225,0.1787212,0.321,cubic,178,178,178,123,123,123,68,68,68
mp-2260,FePt,"['Fe', 'Pt']","[1, 1]",14.81462417,0.3,201,1926.2,76,1.665,0.1980816,0.288,tetragonal,364,364,303,77,157,157,112,112,53
